Class-Section,"Professor, Name      ",Class Name,Location,Meeting Dates,Book Name,ISBN,CRN
ACCT 115-002,"Gomez, Steven      ",FUND OF FINANCIAL ACCOUNTING,KUPF 206,MW- 01:00 PM - 02:20 PM,,,10001
ACCT 115-102,"Gomez, Steven      ",FUND OF FINANCIAL ACCOUNTING,KUPF 202,M- 06:00 PM - 08:50 PM,"Accounting (Loose Pgs)(w/Wiley Plus Access Code)
Accounting (WileyPlus Access)","9781119221951
9781118869970",10002
ACCT 115-104,"Deegan, Jeffrey      ",FUND OF FINANCIAL ACCOUNTING,CULM 110,T- 06:00 PM - 08:50 PM,"Accounting (Loose Pgs)(w/Wiley Plus Access Code)
Accounting (WileyPlus Access)","9781119221951
9781118869970",10003
ACCT 115-CHS,,FUND OF FINANCIAL ACCOUNTING,, -,,,16046
ACCT 117-002,"Deegan, Jeffrey      ",PRINCIPLES OF FIN ACCOUNTNG,KUPF 207,MR- 10:00 AM - 11:20 AM,"Accounting (WileyPlus Access)
Accounting (Loose Pgs)(w/Wiley Plus Access Code)","9781118869970
9781119221951",10004
ACCT 117-102,"Occhifinto, Nicholas      ",PRINCIPLES OF FIN ACCOUNTNG,KUPF 206,F- 06:00 PM - 08:50 PM,,,10005
ACCT 117-104,"Occhifinto, Nicholas      ",PRINCIPLES OF FIN ACCOUNTNG,KUPF 206,T- 06:00 PM - 08:50 PM,,,10006
ACCT 215-002,"Tamke, William      ",MANAGERIAL ACCOUNTING I,KUPF 207,TR- 11:30 AM - 12:50 PM,"Accounting (Loose Pgs)(w/Wiley Plus Access Code)
Accounting (WileyPlus Access)","9781119221951
9781118869970",10007
ACCT 215-102,"Tamke, William      ",MANAGERIAL ACCOUNTING I,KUPF 203,M- 06:00 PM - 08:50 PM,"Accounting (WileyPlus Access)
Accounting (Loose Pgs)(w/Wiley Plus Access Code)","9781118869970
9781119221951",10008
ACCT 335-002,"Occhifinto, Nicholas      ",MANAGERIAL ACCOUNTING II,KUPF 118,TF- 04:00 PM - 05:20 PM,,,10009
ACCT 403-102,"Tamke, William      ",FINANCIAL STATEMENT ANALYSIS,KUPF 209,T- 06:00 PM - 08:50 PM,Financial Statement Analysis & Valuation (w/Bind-In Access),9781620000000,10010
ACCT 415-102,"Fox, Wayne      ",AUDITING,FMH 314,M- 06:00 PM - 08:50 PM,,,15707
ACCT 435-102,"Anandarajan, Asokan      ",INTERMEDIATE ACCOUNTING II,TIER 107,W- 06:00 PM - 08:50 PM,,,10011
ACCT 615-102,"Ghosh, Aloke      ",MANAGEMENT ACCOUNTING,FMH 213,T- 06:00 PM - 08:50 PM,Survey of Accounting (LoosePgs)(w/WP Access Card),9781120000000,10012
ACCT 615-852,"Anandarajan, Asokan      ",MANAGEMENT ACCOUNTING,, -,,,10013
AD 111-002,"Brothers, David      ",COMM IN ART+ DES - TRAD MEDIA,,"M- 08:30 AM - 11:20 AM
W-08:30 AM - 11:20 AM",,,10014
AD 111-004,"Alcala, Jose      ",COMM IN ART+ DES - TRAD MEDIA,,"M- 08:30 AM - 11:20 AM
W-08:30 AM - 11:20 AM",,,10015
AD 111-006,"Sobers, Sophia      ",COMM IN ART+ DES - TRAD MEDIA,,"M- 08:30 AM - 11:20 AM
W-08:30 AM - 11:20 AM",,,10016
AD 112-002,"Nelson, Monica      ",COMM IN ART & DES-DIGTL MEDIA,CAMP 236E,"R- 08:30 AM - 11:20 AM
T-08:30 AM - 11:20 AM",,,10017
AD 112-004,"Abdelazim, Mohamed Ali Mariam    ",COMM IN ART & DES-DIGTL MEDIA,,"R- 08:30 AM - 11:20 AM
T-08:30 AM - 11:20 AM",,,10018
AD 112-006,"Gosser, Matthew      ",COMM IN ART & DES-DIGTL MEDIA,,"R- 08:30 AM - 11:20 AM
T-08:30 AM - 11:20 AM",,,10019
AD 162-002,"Altin, Ersin      ",HISTORY OF ART AND DESIGN II,KUPF 210,TR- 11:30 AM - 12:50 PM,Art: Brief History (w/out MyArtLab Access Code),9780130000000,10020
AD 201-002,"Schwartz, Mathew      ",HUMAN FACTORS/ERGONOMICS,CKB 120,R- 08:30 AM - 11:20 AM,,,10021
AD 325-002,,ENTREPRENEURSHIP FOR DESIGNERS,,F- 01:00 PM - 04:00 PM,,,15762
AD 490-002,"Altin, Ersin      ",ST: ART AFTER THE 80'S,CKB 316,T- 01:00 PM - 03:50 PM,,,10022
AD 490-004,"Ross, Jessica      ",ST: STORYBOARDING,WEST 650,W- 11:30 AM - 02:20 PM,,,10023
AD 490-452,"Wendell, Augustus      ","ST: THE DIGITAL ASSET: MODELING, TEXURING AND MANAGING",, -,,,10025
AD 490-102,"Von, Koenig Gretchen     ",ST:ETHNOGRAPHIC METHODS & SPATIAL DESIGN: FIELDWORK IN PRACTICE,CKB 313,T- 06:00 PM - 08:50 PM,,,10024
AD 493-013,"Cays, John      ",INDEPENDENT STUDY,, -,,,10026
AD 493-032,"Wendell, Augustus      ",INDEPENDENT STUDY,, -,,,10027
